Combination,Fold,CV_PR_AUC,CV_ROC_AUC,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators
37,3,0.07433991005863501,0.5567801068867168,balanced,,sqrt,3,300
37,4,0.05253195941617686,0.5000201215340657,balanced,,sqrt,3,300
38,1,0.2738039967007244,0.6052218765786604,balanced,,sqrt,3,500
38,2,0.09478014130133167,0.5205438349742147,balanced,,sqrt,3,500
38,3,0.06261431257035938,0.5168775787112674,balanced,,sqrt,3,500
38,4,0.057561555127300865,0.5045675882329269,balanced,,sqrt,3,500
39,1,0.27351690277076035,0.6051687006460875,balanced,,sqrt,5,300
39,2,0.08948130332190692,0.49618377871542424,balanced,,sqrt,5,300
39,3,0.07373798515300906,0.567884141444909,balanced,,sqrt,5,300
39,4,0.07202760540074303,0.5780916737092037,balanced,,sqrt,5,300
40,1,0.27399396829873235,0.6056029707620997,balanced,,sqrt,5,500
40,2,0.09178301901226953,0.5080356305672762,balanced,,sqrt,5,500
40,3,0.0742867836507633,0.5835017860604215,balanced,,sqrt,5,500
40,4,0.061517933284107845,0.5478288864743048,balanced,,sqrt,5,500
41,1,0.27862544761856145,0.6137832017229001,balanced,,sqrt,10,300
41,2,0.09049853707633318,0.49955930614158467,balanced,,sqrt,10,300
41,3,0.06943889342570106,0.5628167142026418,balanced,,sqrt,10,300
41,4,0.04112994136424819,0.4695561189585094,balanced,,sqrt,10,300
42,1,0.28150880643402054,0.6183917825458863,balanced,,sqrt,10,500
42,2,0.09035905846601652,0.499521800281294,balanced,,sqrt,10,500
42,3,0.07271249101509945,0.5777143964777227,balanced,,sqrt,10,500
42,4,0.04394360155287853,0.48525091552979993,balanced,,sqrt,10,500
43,1,0.26820289003641384,0.5968643925092836,balanced,,0.7,3,300
43,2,0.08781148592893803,0.4894514767932489,balanced,,0.7,3,300
43,3,0.06842005838845064,0.5460914352172348,balanced,,0.7,3,300
43,4,0.03758583605906157,0.46951587589037796,balanced,,0.7,3,300
44,1,0.26871387221288157,0.5973518385578687,balanced,,0.7,3,500
44,2,0.08740186777336857,0.48540084388185656,balanced,,0.7,3,500
44,3,0.06585687922167141,0.5315260432531221,balanced,,0.7,3,500
44,4,0.041837472284241714,0.5139844661757013,balanced,,0.7,3,500
45,1,0.25956027778870083,0.5874611150993061,balanced,,0.7,5,300
45,2,0.08458513642253992,0.4725363338021566,balanced,,0.7,5,300
45,3,0.06453137453525759,0.5106471353806109,balanced,,0.7,5,300
45,4,0.041044797676667424,0.5045675882329269,balanced,,0.7,5,300
46,1,0.26260402576973185,0.5923488695683,balanced,,0.7,5,500
46,2,0.08419336809438183,0.4713361462728551,balanced,,0.7,5,500
46,3,0.06344449315963957,0.5042228560352228,balanced,,0.7,5,500
46,4,0.04597353457204208,0.5405046480743692,balanced,,0.7,5,500
47,1,0.26966558997423545,0.5974271711290137,balanced,,0.7,10,300
47,2,0.08181098028326464,0.45877168307548066,balanced,,0.7,10,300
47,3,0.0625518815995975,0.487359122753579,balanced,,0.7,10,300
47,4,0.04138213944779659,0.5002615799428549,balanced,,0.7,10,300
48,1,0.2716570657779791,0.6001169870516605,balanced,,0.7,10,500
48,2,0.08225675799384691,0.4615658696671354,balanced,,0.7,10,500
48,3,0.061052677414996856,0.4910420070334782,balanced,,0.7,10,500
48,4,0.04078757388807271,0.4945873073363114,balanced,,0.7,10,500
49,1,0.26609819308924954,0.5964744356704156,balanced_subsample,4.0,sqrt,3,300
49,2,0.0907928113299395,0.505560243788092,balanced_subsample,4.0,sqrt,3,300
49,3,0.0707076887073442,0.5614044803810262,balanced_subsample,4.0,sqrt,3,300
